Screenshot,Publication Name,Authors,Published On,Link to download,Innovation,Objective,Sector,Region,Methodology,Abstract
A Platform.png,A Platform for Closing the Open Data Feedback Loop Based on Web2.0 Functionality,"Charalampos Alexopoulos, Euripidis Loukis, Yannis Charalabidis",2014,http://www.jedem.org/article/view/327/270,Open Data,"Effectiveness, Participation",,Europe,Design Science,"One essential element of open data ecosystems concerns their development through feedback loops, discussions and dynamic supplier and user interactions. These user-centric features communicate the users’ needs to the open data community as well to the public sector bodies responsible for data publication. Addressing these needs by the corresponding public sector bodies or even by utilising the power of the community as ENGAGE supports will actually accelerate innovation. However, these elements appear barely to be part of existing open data practices. We conducted a survey which showed that most professional open data users did not know at least one open data infrastructure that enabled five specific types of discussion and feedback mechanisms. The survey showed that much can still be done to improve feedback and discussion on open data infrastructures. In this paper we discuss an open data platform which has started to contribute to filling this gap and present a usage scenario explaining the sequence of the underlined functionality. The discussed ENGAGE open data infrastructure combines functionalities to close the feedback loop and to return information to public authorities for better open data use and publication as well as establishing communication channels between stakeholders. This may effectively lead to the stimulation and facilitation of value generation from open data, as such functionality position the user at the centre of the open data publication process."
Online Participation.png,Online Participation in Higher Education Decision-making,"Samuel Bohman, Henrik Hansson, Pooyeh Mobini",2014,http://www.jedem.org/article/view/247,Citizen Engagement and Crowdsourcing,"Legitimacy, Participation",Education,Europe,"Case Analysis, Survey","This article considers online participation in higher education decision-making using the MyUniversity EU project as a case study. MyUniversity was a pilot designed to provide European universities with a web-based system to empower and involve students and other members of the academic community in the Bologna Process. Thirteen universities in Spain, Slovakia, Bulgaria, and Lithuania participated in trials. The study uses data collection methods from across the quantitative and qualitative spectrum: web analytics, online surveys, key performance indicators, interviews, focus groups, participant observation, document studies, and usability evaluations. The results are represented by 10 themes: project design, participation, functionality and usability, impact on decision-making, privacy and trust, institutional resistance, motivational factors, the political, economic, and sociocultural context, language barriers, and moderation and framing. The article ends with a discussion based on the results, including recommendations for future research."
Internet Voting.png,Internet Voting for Expatriates: The Swiss Case,"Micha Germann, Uwe Serdült",2014,http://www.jedem.org/article/view/302,Civic Technology,Participation,,Europe,Case Analysis,"In 2008 the first Swiss canton introduced internet voting for expatriates, thus initiating the second phase in Switzerland’s piecemeal i-voting roll-out. More cantons soon followed, and as of this writing expatriates from 12 out of the 26 cantons can vote online. This paper focuses on the second phase involving expatriates. We address three questions at the core of the internet voting research agenda. First, the popularity question: to what extent do expatriates make use of the new online channel? Second, the ‘who’ question: what is the profile of the typical expatriate i-voter? Finally, the turnout question: did the extension of internet voting to the expatriates have an effect on electoral mobilization? Our findings indicate that the online channel is very popular among expatriates, both if compared to other trials in Switzerland itself and internationally. On the other hand, known patterns regarding the profile of i-voters and the effect on mobilization seem to be also replicated in the expatriate trials. Expatriate i-voters tend to be young, male, and there is some evidence of an upper-class bias. Thus, usage of the online channel seems driven by the digital divide also among expatriates. Moreover, we find some evidence that i-voting did not affect electoral mobilization, similarly to trials involving residents."
Police.uk.png,Police.uk and Data.police.uk: Developing Open Crime and Justice Data for the UK,"Amanda M Smith, Tom Heath",2014,http://www.jedem.org/article/view/326,Open Data,Legitimacy,Public Safety,Europe,Case Analysis,"In this paper we describe the evolution and development of the police.uk and data.police.uk sites, which publish open data about crime and justice in the UK, and make it accessible and comprehensible to the public. Police.uk has received over 64 million visits (754 million hits) since launching in January 2011. Open crime and justice data represents a key sector in the UK open data landscape, and citizens are keen to engage with the criminal justice system to become more informed about local levels of crime and other policing information. This paper sets out the policing context in the UK, discusses the journey in providing such open data, the processes involved and challenges encountered, and explores possible future developments."
Parliamentary Information.png,Parliamentary Information Visualization as a Means for Legislative Transparency and Citizen Empowerment?,"Aspasia Papaloi, Dimitris Gouscos",2013,http://www.jedem.org/article/view/222,Open Data,Legitimacy,,Europe,Design Science,"The objective of this article is to highlight the contribution and importance of parliamentary information visualization (PIV) with a view to legislative transparency and citizen empowerment. The constant appeal for parliamentary openness regarding information on laws and bills and accountability of elected representatives calls for transparency in parliamentary procedures and at several areas of parliamentary informatics, in order to enhance democratic control and re-establish constituents’ trust. On the other hand, the provision of easy to understand and analyze information plays a central role to the achievement of transparency. In this respect, this paper provides an overview of the characteristics and capabilities of information visualization that can contribute to delineating the institutional, but also technical possibilities and constraints of achieving legislative transparency. On the basis of this overview, it is attempted to highlight some causal relationships between parliamentary openness, legislative transparency and parliamentary information visualization, and discuss the potential and limitations of PIV not only in terms of technical solutions but also with respect to human factors and political aspects that need to be considered as further determining the success or failure of PIV efforts. In this line of thought, the concluding section of the article provides a discussion on the strengths, weakness, opportunities and threats that can be identified for parliamentary information visualization, as well as on dimensions and specific checkpoints that can be used to evaluate the effectiveness of PIV efforts, as regards the end objective of citizen empowerment."
Citizen Involvement.png,Citizen Involvment in Local Environmental Governance: A Methodology Combining Human-Centered Design and Living Lab Approaches,"Sandrine Reiter, Guillaume Gronier, Philippe Valoggia",2014,http://www.ejeg.com/volume12/issue2,Labs and Experimentation,Participation,Environment,Europe,Design Science,"Nowadays, involving citizens in Local Environmental Governance (LEG) is becoming increasingly important. In order to empower the role of citizen in this context, we propose an approach that relies on the establishment of a physical and intellectual space for shared understanding and collaboration between all stakeholders impacted by an environmental problem (in our case odour emission). Based on the development of an Information Technology (IT) system allowing odour emission measurement as well as the collection of citizen feedback, a Living Lab (LL) approach is being implemented that involves citizens, public authorities, industry and environmental non-governmental organisations (NGOs). According to the definition of the European commission, Living Labs are “open innovation environments in real-life settings, in which userdriven innovation is fully integrated within the co-creation process of new services, products and societal infrastructures”. Based on this definition and considering, in our case, citizens as one of the end-users of the IT system, we argue that such an approach will empower their role in local environmental governance. This article presents the method and techniques that will be used in order to set up such a Living Lab. More precisely, we focus here on the first step of this method: defining the components that will support the management of a Living Lab relying on an IT system. This step consists in the identification of the Living Lab stakeholders (citizen, industry, public authorities, NGOs, etc.), including their characteristics, fears, expectations, involvement and engagement regarding the Living Lab. To do this, 2 main approaches are being combined: A Living Lab approach that aims to involve citizens in local Environmental Governance (LEG) design. Use of Human-Centred Design (HCD), to combine IT developments and LL needs, for example Personas methodology and usability test. A Living Lab relies mainly on stakeholders’ involvement in order to build trust and establish a common goal. In this sense, sociologists’ approaches ((Akrich et al. 2006);) bring valuable information on how to mobilise different actors in order to innovate (Actor Network Theory). However, in the innovation process, these approaches are only considering human actors and do not take into account any technological aspects. However, if Living Labs are relying on human actors’ interactions it should also take into account their interactions with the IT system it is based on. In this case, HumanCentred Design (HCD) being an approach that aims to make IT systems usable and useful by focusing on the users, their needs and requirements, is to be considered as complementary to the sociologists approaches. This article, based on the work performed in the FP7 European project OMNISCIENTIS, presents the theoretical context in which this study takes place as well as the overall methodology."
New Urban Mechanics.png,Citizen-Centered Government: The Mayor's Office of New Urban Mechanics and the Evolution of CRM in Boston,"Susan P. Crawford, Dana Walters",8/7/2013,http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2307158,Labs and Experimentation,"Effectiveness, Participation",,North America,Case Analysis,"Over the last three years, the Boston Mayor's Office of New Urban Mechanics, the innovative, collaborative ethos within City Hall fostered by Mayor Menino and his current chief of staff, Mitchell Weiss, and Boston's launch of a CRM system and its associated Citizens Connect smartphone app have all attracted substantial media attention. In particular, the City of Boston's strategy to put citizen engagement and participation at the center of its efforts, implemented by Chris Osgood and Nigel Jacob as co-chairs of the Mayor's Office of New Urban Mechanics, has drawn attention to the potential power of collaboration and technology to transform citizens' connections to their government and to each other. Several global developments have combined to make Boston's collaborative efforts interesting: First, city managers around the world confront shrinking budgets and diminishing trust in the role of government; second, civic entrepreneurs and technology innovators are pressuring local governments to adopt new forms of engagement with citizens; and third, new digital tools are emerging that can help make city services both more visible and more effective. Boston's experience in pursuing partnerships that facilitate opportunities for engaging citizens may provide scalable (and disruptive) lessons for other cities.

During the summer of 2013, in anticipation of Mayor Menino's retirement in January 2014, Prof. Susan Crawford and Project Assistant Dana Walters carried out a case study examining the ongoing evolution of the Boston Mayor's Hotline into a platform for civic engagement. We chose this CRM focus because the initial development of the system provides a concrete example of how leaders in government can connect to local partners and citizens. In the course of this research, we interviewed 21 city employees and several of their partners outside government, and gathered data about the use of the system. (Exhibit A is a list of interviewees.)

We found a traditional technology story — selection and integration of CRM software, initial performance management using that software, development of ancillary channels of communication, initial patterns of adoption and use — that reflects the commitment of Mayor Menino to personalized constituent service. We also found that that commitment, his long tenure, and the particular personalities of the people on the New Urban Mechanics team make this both a cultural story as well as a technology story. Here are the highlights: The combination of Mitchell Weiss's vision for citizen engagement, Nigel Jacob's expertise in software development and digital strategy, Chris Osgood's experience in navigating government bureaucracy, and Bill Oates's (CIO) private-sector experience has allowed this team to launch successful projects and build valuable partnerships that focus on citizen-centered innovation; Even without budgetary authority or staff, the innovation office within the Mayor's suite (the Office of New Urban Mechanics) has been able to nudge, encourage, and facilitate collaborations inside City Hall and across academic institutions, technologists, and other city governments that have been productive; As one example of the team's joint efforts and partnerships, both inside and outside City Hall, the launch of Boston's Lagan CRM system in October 2008 was followed by integration of the system into the operations of several constituent-facing service departments; The system has evolved over time to include, among other things, a mobile app for field workers in the Department of Public Works (City Worker), a smartphone app for citizens (Citizen Connect), reports that are useful for performance management, and several different channels through which citizens can interact with City Hall, while retaining its high-touch, personalized character; Although every CRM system case is assigned a case ID number, the CRM system as a whole does not automatically assign a unique identifier to citizens that would allow uniform tracking across different modes of contact (smartphone app, Web interface, phone call) or mapping of particular citizens to particular neighborhoods. Constituents who contact the system may voluntarily provide contact details (name, home address, email, and phone); Future versions of this system, and layering of CRM data over other City data (911, inspections, sensor data, social sentiment data, traffic data), could make possible much more extensive citizen collaboration, situation awareness, policy inputs, performance analysis, and co-creation of government services or policies. Although there are many channels for reporting into the CRM system — Citizens Connect, SMS, web chat, phone calls — all of the people reporting in are not connected to each other, and the lack of unique identifiers makes true ""citizen relationship management"" difficult. Customer satisfaction is also not measured by the system, as far as we can tell. Outbound calls, texting, and Twitter/social media sentiment mining might be useful tools for this assessment; Combining formal CRM requests with social sentiment information could provide useful guidance underpinning policy decisions and resource allocation. Connecting all of this information to job functions within City Hall would also clearly be productive. And if we believe that people in their communities know more about their communities than all the gifted people in City Hall, how do we enable them to help themselves solve some of their own problems? Boston City Hall has not been focused on predictive analytics or the public release of data; rather, the team's top priorities (in line with Mayor Menino's strategy) have been to improve service delivery and encourage citizen engagement; Mayor Menino's leadership style, strategic goals, and long tenure, together with the particular personalities of the members of the core team profiled in this study, have been essential to this narrative; The longterm effects on either the operation of City government or citizen engagement of the Office of New Urban Mechanics and the innovative, experimental ethos encouraged by that Office, Chief of Staff Mitchell Weiss, and CIO Bill Oates are unclear. Much will depend on the character and priorities of the new mayor.

"
Scaling of city.png,Scaling of City Attractiveness for Foreign Visitors Through Big Data of Human Economic and Social Media Activity,"Stanislav Sobolevsky, Iva Bojic, Alexander Belyi, Izabela Sitko, Bartosz Hawelka, Juan Murillo Arias, Carlo Ratti",4/22/2015,http://arxiv.org/pdf/1504.06003v1.pdf,Data Analysis,Effectiveness,Economy,Europe,Quantitative Analysis,"Scientific studies investigating laws and regularities of human behavior are nowadays increasingly relying on the wealth of widely available digital information produced by human social activity. In this paper we leverage big data created by three different aspects of human activity (i.e., bank card transactions, geotagged photographs and tweets) in Spain for quantifying city attractiveness for the foreign visitors. An important finding of this papers is a strong superlinear scaling of city attractiveness with its population size. The observed scaling exponent stays nearly the same for different ways of defining cities and for different data sources, emphasizing the robustness of our finding. Temporal variation of the scaling exponent is also considered in order to reveal seasonal patterns in the attractiveness."
Urban Data Games.png,Urban Data Games: Creating Smart Citizens for Smart Cities,"Annika Wolff, Gerd Kortuem, and Jose Cavero",2015,http://oro.open.ac.uk/42603/2/UDG-Icalt-abridged.pdf,"Citizen Engagement and Crowdsourcing, Data Analysis","Participation, Effectiveness",,Europe,Conceptual Framework,"A bottom-up approach to smart cities places citizens in an active role of contributing, analysing and interpreting data in pursuit of tackling local urban challenges and building a more sustainable future city. This vision can only be realised if citizens have sufficient data literacy skills and experience of large, complex, messy, ever expanding data sets. Schools typically focus on teaching data handling skills using small, personally collected data sets obtained through scientific experimentation, leading to a gap between what is being taught and what will be needed as big data and analytics become more prevalent. This paper proposes an approach to teaching data literacy in the context of urban innovation tasks, using an idea of Urban Data Games. These are supported by a set of training data and resources that will be used in school trials for exploring the problems people have when dealing with large data and trialling novel approaches for teaching data literacy."
A Sentiment Analysis.png,A sentiment analysis of U.S. local government tweets: The connection between tone and citizen involvement,"Staci M. Zavattaroa, P. Edward Frenchb,Somya D. Mohantyc,",2015,http://www.sciencedirect.com/science/article/pii/S0740624X15000337#,"Citizen Engagement and Crowdsourcing, Data Analysis",Participation,,North America,"Quantitative Analysis, Statistical Modeling","As social media tools become more popular at all levels of government, more research is needed to determine how the platforms can be used to create meaningful citizen–government collaboration. Many entities use the tools in one-way, push manners. The aim of this research is to determine if sentiment (tone) can positively influence citizen participation with government via social media. Using a systematic random sample of 125 U.S. cities, we found that positive sentiment is more likely to engender digital participation but this was not a perfect one-to-one relationship. Some cities that had an overall positive sentiment score and displayed a participatory style of social media use did not have positive citizen sentiment scores. We argue that positive tone is only one part of a successful social media interaction plan, and encourage social media managers to actively manage platforms to use activities that spur participation."
